id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17475.0,Rental unit in 08013 Barcelona · ★4.40 · 1 bedroom · 1 bed · 1 bath,65623,Luca,Eixample,la Dreta de l'Eixample,41.39939,2.17044,Entire home/apt,140.0,5,26,12/4/2023,0.16,1,32,9,
18674.0,Rental unit in Barcelona · ★4.33 · 3 bedrooms · 6 beds · 2 baths,71615,Mireia  Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,121.0,1,40,11/7/2023,0.31,30,39,7,HUTB-002062
198958.0,Rental unit in Barcelona · ★4.69 · 4 bedrooms · 6 beds · 2 baths,971768,Laura,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40805,2.21487,Entire home/apt,304.0,2,105,10/16/2023,0.74,9,137,26,HUTB-000926
23197.0,Rental unit in Sant Adria de Besos · ★4.77 · 3 bedrooms · 4 beds · 2 baths,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41243173,2.219750335,Entire home/apt,200.0,3,75,11/25/2023,0.48,2,300,11,HUTB005057
32711.0,Rental unit in Barcelona · ★4.48 · 2 bedrooms · 3 beds · 1.5 baths,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,79.0,1,99,10/18/2023,0.66,3,297,16,HUTB-001722
34241.0,Condo in Barcelona · ★3.40 · 1 bedroom · 1 bed · 1 bath,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38062,2.17517,Entire home/apt,120.0,5,8,7/15/2013,0.05,3,90,0,Exempt
34981.0,Rental unit in Barcelona · ★4.53 · 4 bedrooms · 6 beds · 3 baths,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,226.0,5,217,11/26/2023,1.35,3,228,27,HUTB-150671
36763.0,Rental unit in Barcelona · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,30.0,31,108,10/10/2023,0.73,1,210,4,
40983.0,Condo in Barcelona · ★4.40 · 1 bedroom · 2 beds · 1 bath,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,81.0,2,290,11/16/2023,1.91,6,287,39,HUTB-001282
41952.0,Rental unit in Barcelona · ★4.32 · 2 bedrooms · 4 beds · 2 baths,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,164.0,3,75,9/10/2023,0.53,3,346,14,HUTB-003549
46153.0,Rental unit in Barcelona · ★4.17 · 2 bedrooms · 3 beds · 1 bath,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38956,2.17759,Entire home/apt,70.0,31,6,6/16/2023,0.04,2,243,1,Exempt
49968.0,Rental unit in Barcelona · ★4.60 · 2 bedrooms · 7 beds · 1 bath,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,79.0,1,89,11/25/2023,0.59,3,305,22,HUTB-001723
68547.0,Vacation home in Barcelona · ★4.74 · 2 bedrooms · 2 beds · 2 baths,340570,Audun,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Entire home/apt,120.0,31,92,8/10/2021,0.6,2,333,0,
71520.0,Rental unit in Barcelona · 3 bedrooms · 5 beds · 3.5 baths,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250.0,5,1,6/23/2011,0.01,1,159,0,HUTB-007966
